D4776,3,1023.000 ,48.69617 ,-110.9805,APRSWXNET ,           ,DW4776 Chester                    MT US           ,
D4779,3,903.0000 ,48.33467 ,-110.8438,APRSWXNET ,           ,DW4779 Chester                    MT US           ,
D4821,3,1070.100 ,48.73555 ,-110.9268,APRSWXNET ,           ,DW4821 Chester                    MT US           ,
D5890,3,735.0000 ,47.67450 ,-105.1245,APRSWXNET ,           ,DW5890 Richey                     MT US           ,
D5891,3,679.0000 ,47.79283 ,-105.1800,APRSWXNET ,           ,DW5891 Richey                     MT US           ,
D5893,3,644.0000 ,47.96700 ,-104.4705,APRSWXNET ,           ,DW5893 Culbertson                 MT US           ,
D5894,3,622.0000 ,47.49842 ,-104.2520,APRSWXNET ,           ,DW5894 Lambert                    MT US           ,
D5896,3,1022.300 ,47.52183 ,-111.3190,APRSWXNET ,           ,DW5896 Great Falls                MT US           ,
D5938,3,587.9000 ,48.14450 ,-104.4970,APRSWXNET ,           ,DW5938 Culbertson                 MT US           ,
D5941,3,709.9000 ,47.84633 ,-104.6362,APRSWXNET ,           ,DW5941 Fink Road                  MT US           ,
D5959,3,631.0000 ,48.10500 ,-104.7983,APRSWXNET ,           ,DW5959 Charlie Creek              MT US           ,
D5962,3,691.0000 ,47.86550 ,-104.3467,APRSWXNET ,           ,DW5962 Girard Hall                MT US           ,
D5963,3,626.0000 ,47.94717 ,-104.1392,APRSWXNET ,           ,DW5963 Four Mile                  MT US           ,
D6464,3,1003.700 ,46.87917 ,-113.8972,APRSWXNET ,           ,DW6464 Bonner                     MT US           ,
D6667,3,1414.000 ,46.39333 ,-112.0253,APRSWXNET ,           ,DW6667 Jefferson City             MT US           ,
D7301,3,1702.300 ,45.55267 ,-110.7400,APRSWXNET ,           ,DW7301 Livingston                 MT US           ,
D7712,3,1241.000 ,45.89689 ,-111.5485,APRSWXNET ,           ,DW7712 Three Forks                MT US           ,
D7734,3,1950.000 ,45.63033 ,-110.8320,APRSWXNET ,           ,DW7734 Bozeman                    MT US           ,
D8455,3,1480.000 ,45.49800 ,-110.5708,APRSWXNET ,           ,DW8455 Livingston                 MT US           ,
D8515,3,1066.800 ,47.88867 ,-114.3205,APRSWXNET ,           ,DW8515 Kalispell                  MT US           ,
D8547,3,607.0000 ,47.72743 ,-104.1838,APRSWXNET ,           ,DW8547 Sidney                     MT US           ,
D8631,3,696.0000 ,46.73000 ,-105.4400,APRSWXNET ,           ,DW8631 Terry                      MT US           ,
D8632,3,673.0000 ,47.04000 ,-104.8000,APRSWXNET ,           ,DW8632 Glendive                   MT US           ,
D8633,3,712.0000 ,47.70000 ,-104.6000,APRSWXNET ,           ,DW8633 Lambert                    MT US           ,
D8635,3,669.0000 ,47.36883 ,-104.1345,APRSWXNET ,           ,DW8635 Sidney                     MT US           ,
D8636,3,613.0000 ,47.50000 ,-104.3300,APRSWXNET ,           ,DW8636 Sidney                     MT US           ,
D8692,3,762.0000 ,47.80667 ,-104.4235,APRSWXNET ,           ,DW8692 Sidney                     MT US           ,
D8831,3,1089.100 ,45.80783 ,-108.3672,APRSWXNET ,           ,DW8831 Billings                   MT US           ,
D8908,3,1071.000 ,47.42929 ,-111.3219,APRSWXNET ,           ,DW8908 Great Falls                MT US           ,
D8939,3,885.0000 ,48.14314 ,-114.2317,APRSWXNET ,           ,DW8939 Kalispell                  MT US           ,
D9079,3,658.0000 ,48.35300 ,-106.8425,APRSWXNET ,           ,DW9079 Glasgow                    MT US           ,
D9092,3,1036.000 ,46.80750 ,-114.0565,APRSWXNET ,           ,DW9092 Missoula                   MT US           ,
D9117,3,993.0000 ,45.79417 ,-108.5590,APRSWXNET ,           ,DW9117 Billings                   MT US           ,
D9188,3,896.7000 ,48.18783 ,-114.3138,APRSWXNET ,           ,DW9188 Kalispell                  MT US           ,
D9390,3,636.1000 ,48.05858 ,-106.0467,APRSWXNET ,           ,DW9390 Frazer                     MT US           ,
D9455,3,1567.000 ,45.98666 ,-110.5971,APRSWXNET ,           ,DW9455 Wilsall                    MT US           ,
D9564,3,1152.000 ,48.94050 ,-111.4298,APRSWXNET ,           ,DW9564 Sunburst                   MT US           ,
D9565,3,1207.000 ,48.97650 ,-111.1560,APRSWXNET ,           ,DW9565 Whitlash                   MT US           ,
D9605,3,954.0000 ,48.47817 ,-111.3522,APRSWXNET ,           ,DW9605 Galata                     MT US           ,
D9834,3,1033.000 ,48.62800 ,-111.3210,APRSWXNET ,           ,DW9834 Galata                     MT US           ,
D9972,3,1373.000 ,46.49797 ,-111.9786,APRSWXNET ,           ,DW9972 Clancy                     MT US           ,
D9996,3,925.0000 ,48.55550 ,-110.4247,APRSWXNET ,           ,DW9996 Hingham                    MT US           ,
E0034,3,676.0000 ,48.11000 ,-105.8858,APRSWXNET ,           ,EW0034 Wolf Point                 MT US           ,
E0139,3,665.1000 ,48.24800 ,-106.6358,APRSWXNET ,           ,EW0139 Glasgow 4 N                MT US           ,
E0591,3,1022.000 ,46.80833 ,-114.0587,APRSWXNET ,           ,EW0591 Missoula                   MT US           ,
E1187,3,929.0000 ,47.00383 ,-114.4802,APRSWXNET ,           ,EW1187 Alberton                   MT US           ,
E1200,3,839.1000 ,47.35867 ,-104.7933,APRSWXNET ,           ,EW1200 Bloomfield                 MT US           ,
